MSSubClass,MSZoning,LotFrontage,LotArea,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,HeatingQC,Electrical,1stFlrSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageType,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LandSlope_Mod,LandSlope_Sev,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,CentralAir_Y,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_GarageFinish_missing,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_P,PavedDrive_Y,BsmtFullBath_1,BsmtFullBath_2,BsmtFullBath_3,BsmtHalfBath_1,BsmtHalfBath_2,FullBath_1,FullBath_2,FullBath_3,HalfBath_1,HalfBath_2,Fireplaces_1,Fireplaces_2,Fireplaces_3
5.0,3.0,-0.20784775188093568,-0.20712487964624765,4.0,5.0,2.0,0.0,5.0,6.0,4.0,1.0518991295482512,0.8794486809206211,1.0,12.0,13.0,0.5095026525384843,4.0,2.0,3.0,4.0,4.0,3.0,0.574747571658158,6.0,-0.9446070036825376,0.0,4.0,-0.7941908509666846,0.3700549424761217,3.0,6.0,6.0,1.0,2.0,0.3506601513515196,-0.7518872697842447,0.21598305287338213,1.0,2.0,8.0,4.0,208500.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,3.0,0.409827588032692,-0.09190877953284433,2.0,24.0,2.0,0.0,2.0,5.0,6.5,0.1575396714999393,-0.42886407918156255,1.0,8.0,8.0,-0.573096745058249,4.0,1.0,3.0,4.0,2.0,0.0,1.171304103324729,6.0,-0.6413304137200978,0.0,4.0,0.25642614663149355,-0.4825139125769872,3.0,4.0,6.0,1.0,2.0,-0.06094660075647254,1.6256704291570667,-0.7048445266561093,4.0,1.0,8.0,4.0,181500.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,3.0,-0.08431268389821016,0.07340127715160388,4.0,5.0,2.0,0.0,5.0,6.0,4.0,0.9856502808039318,0.8309926527686884,1.0,12.0,13.0,0.3217047978533366,4.0,2.0,3.0,4.0,3.0,3.0,0.092238612221961,6.0,-0.30184169361288915,0.0,4.0,-0.6285763488822428,0.5146871589583456,3.0,4.0,6.0,1.0,2.0,0.6313011186978779,-0.7518872697842447,-0.07083209484891849,8.0,2.0,8.0,4.0,223500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
6.0,3.0,-0.4137395318521449,-0.09691817518994883,0.0,6.0,2.0,0.0,5.0,6.0,4.0,-1.8630502152018025,-0.7196002480931589,1.0,13.0,15.0,-0.573096745058249,4.0,0.0,4.0,4.0,4.0,0.0,-0.4999314743588263,6.0,-0.06193633140379501,2.0,4.0,-0.5224795584843972,0.38337633083632655,3.0,5.0,6.0,5.0,3.0,0.7903310001941476,-0.7518872697842447,-0.1765008334834503,1.0,0.0,8.0,4.0,140000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,3.0,0.5745410120096593,0.37496689570929426,2.0,15.0,2.0,0.0,5.0,7.0,4.0,0.9525258564317721,0.7340805964648229,1.0,12.0,13.0,1.3601164649359174,4.0,2.0,3.0,4.0,0.0,3.0,0.462893221970676,6.0,-0.1750992381061979,0.0,4.0,-0.046337864991626766,1.298746016730401,4.0,7.0,6.0,1.0,3.0,1.6977367946140394,0.7799619859094861,0.5631803369582723,11.0,2.0,8.0,4.0,250000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
4.0,3.0,0.6157193680039011,0.36043964830369124,4.0,11.0,2.0,0.0,0.0,4.0,4.0,0.7206548858266542,0.4918004557051593,1.0,12.0,13.0,-0.573096745058249,4.0,3.5,3.0,4.0,4.0,3.0,0.631771357773345,6.0,-1.1392472032106706,0.0,4.0,-0.9494544466708489,-0.29220836457406113,1.0,3.0,6.0,1.0,2.0,0.03260038835898022,-0.43275200818138415,-0.2519785039366873,9.0,3.0,8.0,4.0,143000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,3.0,0.20393580806148276,-0.04341782957207286,4.0,21.0,2.0,0.0,2.0,7.0,4.0,1.085023553920411,0.9763607372244866,1.0,12.0,13.0,0.45426798939579377,4.0,2.0,1.5,4.0,0.0,3.0,2.0288541175954244,6.0,-0.5666428952965119,0.0,4.0,1.3743240357014763,0.33960605479565353,3.0,5.0,6.0,1.0,2.0,0.7622669034595118,1.2826000229339916,0.15560091651079253,7.0,1.0,8.0,4.0,307000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,3.0,0.3933562456349952,-0.01356183145573009,0.0,14.0,2.0,0.0,5.0,6.0,5.0,0.05816639838346021,-0.5742321636373607,1.0,6.0,6.0,0.7525351703663223,4.0,1.0,3.0,4.0,3.0,0.0,0.9103106207206042,6.0,-0.7952319668353658,0.0,4.0,-0.14467147560426413,1.093216024887241,3.0,5.0,6.0,1.0,2.0,0.05130978618207077,1.1230323921325613,1.861396268753949,10.0,3.0,8.0,4.0,200000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,3.0,-0.7843447358003215,-0.44056271726731694,4.0,17.0,2.0,0.0,0.0,6.0,4.0,-1.3330594252472472,-1.6887208111318135,1.0,3.0,15.0,-0.573096745058249,4.0,0.0,4.0,4.0,4.0,6.0,-0.9736675436234561,6.0,0.8705260198240049,2.0,4.0,-0.3646282361851635,0.4918504931979944,2.0,6.0,6.0,5.0,2.0,-0.023527805110291438,-0.03383293117780844,-0.7048445266561093,3.0,2.0,8.0,4.0,129900.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,3.0,-0.8255230917945633,-0.31031843018260014,0.0,3.0,2.0,0.0,1.0,4.0,5.0,-1.0680640302699695,-1.6887208111318135,1.0,8.0,8.0,-0.573096745058249,4.0,0.0,4.0,4.0,4.0,3.0,0.8927648403774697,6.0,-0.9672395850230182,0.0,4.0,-0.22230327345634626,-0.8345791763824005,2.0,3.0,6.0,1.0,1.0,-1.2536707119784953,-0.7518872697842447,-0.6444623902935197,0.0,2.0,8.0,4.0,118000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
